Index,Name,Category,Year,Link
382,Gérard Debreu,Peace,1983,/wiki/Gérard_Debreu
383,Carlo Rubbia,Year,1984,/wiki/Carlo_Rubbia
384,Robert Bruce Merrifield,Physics,1984,/wiki/Robert_Bruce_Merrifield
385,Niels Kaj Jerne,Chemistry,1984,/wiki/Niels_Kaj_Jerne
386,Jaroslav Seifert,Physiologyor Medicine,1984,/wiki/Jaroslav_Seifert
387,Desmond Tutu,Literature,1984,/wiki/Desmond_Tutu
388,Richard Stone,Peace,1984,/wiki/Richard_Stone
389,Klaus von Klitzing,Year,1985,/wiki/Klaus_von_Klitzing
390,Herbert A. Hauptman,Physics,1985,/wiki/Herbert_A._Hauptman
391,Michael Stuart Brown,Chemistry,1985,/wiki/Michael_Stuart_Brown
392,Claude Simon,Physiologyor Medicine,1985,/wiki/Claude_Simon
393,International Physicians for the Prevention of Nuclear War,Literature,1985,/wiki/International_Physicians_for_the_Prevention_of_Nuclear_War
394,Franco Modigliani,Peace,1985,/wiki/Franco_Modigliani
395,Ernst Ruska,Year,1986,/wiki/Ernst_Ruska
396,Dudley R. Herschbach,Physics,1986,/wiki/Dudley_R._Herschbach
397,Stanley Cohen,Chemistry,1986,/wiki/Stanley_Cohen_(biochemist)
398,Wole Soyinka,Physiologyor Medicine,1986,/wiki/Wole_Soyinka
399,Elie Wiesel,Literature,1986,/wiki/Elie_Wiesel
400,James M. Buchanan,Peace,1986,/wiki/James_M._Buchanan
401,Georg Bednorz,Year,1987,/wiki/Georg_Bednorz
402,Donald J. Cram,Physics,1987,/wiki/Donald_J._Cram
403,Susumu Tonegawa,Chemistry,1987,/wiki/Susumu_Tonegawa
404,Joseph Brodsky,Physiologyor Medicine,1987,/wiki/Joseph_Brodsky
405,Óscar Arias,Literature,1987,/wiki/Óscar_Arias
406,Robert Solow,Peace,1987,/wiki/Robert_Solow
407,Leon M. Lederman,Year,1988,/wiki/Leon_M._Lederman
408,Johann Deisenhofer,Physics,1988,/wiki/Johann_Deisenhofer
409,James W. Black,Chemistry,1988,/wiki/James_W._Black
410,Naguib Mahfouz,Physiologyor Medicine,1988,/wiki/Naguib_Mahfouz
411,United Nations peacekeeping forces,Literature,1988,/wiki/United_Nations_peacekeeping
412,Maurice Allais,Peace,1988,/wiki/Maurice_Allais
413,Norman Ramsey Jr.,Year,1989,/wiki/Norman_Ramsey_Jr.
414,Sidney Altman,Physics,1989,/wiki/Sidney_Altman
415,J. Michael Bishop,Chemistry,1989,/wiki/J._Michael_Bishop
416,Camilo José Cela,Physiologyor Medicine,1989,/wiki/Camilo_José_Cela
417,Tenzin Gyatso (The 14th Dalai Lama),Literature,1989,/wiki/14th_Dalai_Lama
418,Trygve Haavelmo,Peace,1989,/wiki/Trygve_Haavelmo
419,Jerome Isaac Friedman,Year,1990,/wiki/Jerome_Isaac_Friedman
420,Elias James Corey,Physics,1990,/wiki/Elias_James_Corey
421,Joseph Murray,Chemistry,1990,/wiki/Joseph_Murray
422,Octavio Paz,Physiologyor Medicine,1990,/wiki/Octavio_Paz
423,Mikhail Gorbachev,Literature,1990,/wiki/Mikhail_Gorbachev
424,Harry Markowitz,Peace,1990,/wiki/Harry_Markowitz
425,Pierre-Gilles de Gennes,Year,1991,/wiki/Pierre-Gilles_de_Gennes
426,Richard R. Ernst,Physics,1991,/wiki/Richard_R._Ernst
427,Erwin Neher,Chemistry,1991,/wiki/Erwin_Neher
428,Nadine Gordimer,Physiologyor Medicine,1991,/wiki/Nadine_Gordimer
429,Aung San Suu Kyi,Literature,1991,/wiki/Aung_San_Suu_Kyi
430,Ronald Coase,Peace,1991,/wiki/Ronald_Coase
431,Georges Charpak,Year,1992,/wiki/Georges_Charpak
432,Rudolph A. Marcus,Physics,1992,/wiki/Rudolph_A._Marcus
433,Edmond H. Fischer,Chemistry,1992,/wiki/Edmond_H._Fischer
434,Derek Walcott,Physiologyor Medicine,1992,/wiki/Derek_Walcott
435,Rigoberta Menchú,Literature,1992,/wiki/Rigoberta_Menchú
436,Gary Becker,Peace,1992,/wiki/Gary_Becker
437,Russell Alan Hulse,Year,1993,/wiki/Russell_Alan_Hulse
438,Kary Mullis,Physics,1993,/wiki/Kary_Mullis
439,Richard J. Roberts,Chemistry,1993,/wiki/Richard_J._Roberts
440,Toni Morrison,Physiologyor Medicine,1993,/wiki/Toni_Morrison
441,Nelson Mandela,Literature,1993,/wiki/Nelson_Mandela
442,Robert Fogel,Peace,1993,/wiki/Robert_Fogel
443,Bertram Brockhouse,Year,1994,/wiki/Bertram_Brockhouse
444,George Andrew Olah,Physics,1994,/wiki/George_Andrew_Olah
445,Alfred G. Gilman,Chemistry,1994,/wiki/Alfred_G._Gilman
446,Kenzaburō Ōe,Physiologyor Medicine,1994,/wiki/Kenzaburō_Ōe
447,Yasser Arafat,Literature,1994,/wiki/Yasser_Arafat
448,John Harsanyi,Peace,1994,/wiki/John_Harsanyi
449,Martin Lewis Perl,Year,1995,/wiki/Martin_Lewis_Perl
450,Paul J. Crutzen,Physics,1995,/wiki/Paul_J._Crutzen
451,Edward B. Lewis,Chemistry,1995,/wiki/Edward_B._Lewis
452,Seamus Heaney,Physiologyor Medicine,1995,/wiki/Seamus_Heaney
453,Joseph Rotblat,Literature,1995,/wiki/Joseph_Rotblat
454,Robert Lucas Jr.,Peace,1995,/wiki/Robert_Lucas_Jr.
455,David Lee,Year,1996,/wiki/David_Lee_(physicist)
456,Robert Curl,Physics,1996,/wiki/Robert_Curl
457,Peter C. Doherty,Chemistry,1996,/wiki/Peter_C._Doherty
458,Wisława Szymborska,Physiologyor Medicine,1996,/wiki/Wisława_Szymborska
459,Carlos Filipe Ximenes Belo,Literature,1996,/wiki/Carlos_Filipe_Ximenes_Belo
460,James Mirrlees,Peace,1996,/wiki/James_Mirrlees
461,Steven Chu,Year,1997,/wiki/Steven_Chu
462,Paul D. Boyer,Physics,1997,/wiki/Paul_D._Boyer
463,Stanley B. Prusiner,Chemistry,1997,/wiki/Stanley_B._Prusiner
464,Dario Fo,Physiologyor Medicine,1997,/wiki/Dario_Fo
465,International Campaign to Ban Landmines,Literature,1997,/wiki/International_Campaign_to_Ban_Landmines
466,Robert C. Merton,Peace,1997,/wiki/Robert_C._Merton
467,Robert B. Laughlin,Year,1998,/wiki/Robert_B._Laughlin
468,Walter Kohn,Physics,1998,/wiki/Walter_Kohn
469,Robert F. Furchgott,Chemistry,1998,/wiki/Robert_F._Furchgott
470,José Saramago,Physiologyor Medicine,1998,/wiki/José_Saramago
471,John Hume,Literature,1998,/wiki/John_Hume
472,Amartya Sen,Peace,1998,/wiki/Amartya_Sen
473,Gerard 't Hooft,Year,1999,/wiki/Gerard_'t_Hooft
474,Ahmed Zewail,Physics,1999,/wiki/Ahmed_Zewail
475,Günter Blobel,Chemistry,1999,/wiki/Günter_Blobel
476,Günter Grass,Physiologyor Medicine,1999,/wiki/Günter_Grass
477,Médecins Sans Frontières,Literature,1999,/wiki/Médecins_Sans_Frontières
478,Robert Mundell,Peace,1999,/wiki/Robert_Mundell
479,Jack Kilby,Year,2000,/wiki/Jack_Kilby
480,Alan J. Heeger,Physics,2000,/wiki/Alan_J._Heeger
481,Arvid Carlsson,Chemistry,2000,/wiki/Arvid_Carlsson
482,Gao Xingjian,Physiologyor Medicine,2000,/wiki/Gao_Xingjian
483,Kim Dae-jung,Literature,2000,/wiki/Kim_Dae-jung
484,James Heckman,Peace,2000,/wiki/James_Heckman
485,Eric Allin Cornell,Year,2001,/wiki/Eric_Allin_Cornell
486,William Standish Knowles,Physics,2001,/wiki/William_Standish_Knowles
487,Leland H. Hartwell,Chemistry,2001,/wiki/Leland_H._Hartwell
488,V. S. Naipaul,Physiologyor Medicine,2001,/wiki/V._S._Naipaul
489,United Nations,Literature,2001,/wiki/United_Nations
490,George Akerlof,Peace,2001,/wiki/George_Akerlof
491,Riccardo Giacconi,Year,2002,/wiki/Riccardo_Giacconi
492,John B. Fenn,Physics,2002,/wiki/John_B._Fenn
493,Sydney Brenner,Chemistry,2002,/wiki/Sydney_Brenner
494,Imre Kertész,Physiologyor Medicine,2002,/wiki/Imre_Kertész
495,Jimmy Carter,Literature,2002,/wiki/Jimmy_Carter
496,Daniel Kahneman,Peace,2002,/wiki/Daniel_Kahneman
497,Alexei Abrikosov,Year,2003,/wiki/Alexei_Abrikosov_(physicist)
498,Peter Agre,Physics,2003,/wiki/Peter_Agre
499,Paul Lauterbur,Chemistry,2003,/wiki/Paul_Lauterbur
500,J. M. Coetzee,Physiologyor Medicine,2003,/wiki/J._M._Coetzee
501,Shirin Ebadi,Literature,2003,/wiki/Shirin_Ebadi
502,Robert F. Engle,Peace,2003,/wiki/Robert_F._Engle
503,David Gross,Year,2004,/wiki/David_Gross
504,Aaron Ciechanover,Physics,2004,/wiki/Aaron_Ciechanover
505,Richard Axel,Chemistry,2004,/wiki/Richard_Axel
506,Elfriede Jelinek,Physiologyor Medicine,2004,/wiki/Elfriede_Jelinek
507,Wangari Maathai,Literature,2004,/wiki/Wangari_Maathai
508,Finn E. Kydland,Peace,2004,/wiki/Finn_E._Kydland
509,Roy J. Glauber,Year,2005,/wiki/Roy_J._Glauber
510,Yves Chauvin,Physics,2005,/wiki/Yves_Chauvin
511,Barry Marshall,Chemistry,2005,/wiki/Barry_Marshall
512,Harold Pinter,Physiologyor Medicine,2005,/wiki/Harold_Pinter
513,International Atomic Energy Agency,Literature,2005,/wiki/International_Atomic_Energy_Agency
514,Robert Aumann,Peace,2005,/wiki/Robert_Aumann
515,John C. Mather,Year,2006,/wiki/John_C._Mather
516,Roger D. Kornberg,Physics,2006,/wiki/Roger_D._Kornberg
517,Andrew Fire,Chemistry,2006,/wiki/Andrew_Fire
518,Orhan Pamuk,Physiologyor Medicine,2006,/wiki/Orhan_Pamuk
519,Muhammad Yunus,Literature,2006,/wiki/Muhammad_Yunus
520,Edmund Phelps,Peace,2006,/wiki/Edmund_Phelps
521,Albert Fert,Year,2007,/wiki/Albert_Fert
522,Gerhard Ertl,Physics,2007,/wiki/Gerhard_Ertl
523,Mario Capecchi,Chemistry,2007,/wiki/Mario_Capecchi
524,Doris Lessing,Physiologyor Medicine,2007,/wiki/Doris_Lessing
525,Intergovernmental Panel on Climate Change,Literature,2007,/wiki/Intergovernmental_Panel_on_Climate_Change
526,Leonid Hurwicz,Peace,2007,/wiki/Leonid_Hurwicz
527,Yoichiro Nambu,Year,2008,/wiki/Yoichiro_Nambu
528,Osamu Shimomura,Physics,2008,/wiki/Osamu_Shimomura
529,Harald zur Hausen,Chemistry,2008,/wiki/Harald_zur_Hausen
530,J. M. G. Le Clézio,Physiologyor Medicine,2008,/wiki/J._M._G._Le_Clézio
531,Martti Ahtisaari,Literature,2008,/wiki/Martti_Ahtisaari
532,Paul Krugman,Peace,2008,/wiki/Paul_Krugman
533,Charles K. Kao,Year,2009,/wiki/Charles_K._Kao
534,Venkatraman Ramakrishnan,Physics,2009,/wiki/Venkatraman_Ramakrishnan
535,Elizabeth Blackburn,Chemistry,2009,/wiki/Elizabeth_Blackburn
536,Herta Müller,Physiologyor Medicine,2009,/wiki/Herta_Müller
537,Barack Obama,Literature,2009,/wiki/Barack_Obama
538,Elinor Ostrom,Peace,2009,/wiki/Elinor_Ostrom
539,Andre Geim,Year,2010,/wiki/Andre_Geim
540,Richard F. Heck,Physics,2010,/wiki/Richard_F._Heck
541,Robert Edwards,Chemistry,2010,/wiki/Robert_Edwards_(physiologist)
542,Mario Vargas Llosa,Physiologyor Medicine,2010,/wiki/Mario_Vargas_Llosa
543,Liu Xiaobo,Literature,2010,/wiki/Liu_Xiaobo
544,Peter A. Diamond,Peace,2010,/wiki/Peter_Diamond
545,Saul Perlmutter,Year,2011,/wiki/Saul_Perlmutter
546,Dan Shechtman,Physics,2011,/wiki/Dan_Shechtman
547,Bruce Beutler,Chemistry,2011,/wiki/Bruce_Beutler
548,Tomas Tranströmer,Physiologyor Medicine,2011,/wiki/Tomas_Tranströmer
549,Ellen Johnson Sirleaf,Literature,2011,/wiki/Ellen_Johnson_Sirleaf
550,Thomas J. Sargent,Peace,2011,/wiki/Thomas_J._Sargent
551,Serge Haroche,Year,2012,/wiki/Serge_Haroche
552,Brian K. Kobilka,Physics,2012,/wiki/Brian_Kobilka
553,John B. Gurdon,Chemistry,2012,/wiki/John_Gurdon
554,Mo Yan,Physiologyor Medicine,2012,/wiki/Mo_Yan
555,European Union,Literature,2012,/wiki/European_Union
556,Alvin E. Roth,Peace,2012,/wiki/Alvin_E._Roth
557,François Englert,Year,2013,/wiki/François_Englert
558,Martin Karplus,Physics,2013,/wiki/Martin_Karplus
559,James E. Rothman,Chemistry,2013,/wiki/James_Rothman
560,Alice Munro,Physiologyor Medicine,2013,/wiki/Alice_Munro
561,Organisation for the Prohibition of Chemical Weapons,Literature,2013,/wiki/Organisation_for_the_Prohibition_of_Chemical_Weapons
562,Eugene F. Fama,Peace,2013,/wiki/Eugene_Fama
563,Isamu Akasaki,Year,2014,/wiki/Isamu_Akasaki
564,Eric Betzig,Physics,2014,/wiki/Eric_Betzig
565,John O'Keefe,Chemistry,2014,/wiki/John_O'Keefe_(neuroscientist)
566,Patrick Modiano,Physiologyor Medicine,2014,/wiki/Patrick_Modiano
567,Kailash Satyarthi,Literature,2014,/wiki/Kailash_Satyarthi
568,Jean Tirole,Peace,2014,/wiki/Jean_Tirole
569,Takaaki Kajita,Year,2015,/wiki/Takaaki_Kajita
570,Tomas Lindahl,Physics,2015,/wiki/Tomas_Lindahl
571,William C. Campbell,Chemistry,2015,/wiki/William_C._Campbell_(scientist)
572,Svetlana Alexievich,Physiologyor Medicine,2015,/wiki/Svetlana_Alexievich
573,Tunisian National Dialogue Quartet,Literature,2015,/wiki/Tunisian_National_Dialogue_Quartet
574,Angus Deaton,Peace,2015,/wiki/Angus_Deaton
575,David J. Thouless,Year,2016,/wiki/David_J._Thouless
576,Jean-Pierre Sauvage,Physics,2016,/wiki/Jean-Pierre_Sauvage
577,Yoshinori Ohsumi,Chemistry,2016,/wiki/Yoshinori_Ohsumi
578,Bob Dylan,Physiologyor Medicine,2016,/wiki/Bob_Dylan
579,Juan Manuel Santos,Literature,2016,/wiki/Juan_Manuel_Santos
580,Oliver Hart,Peace,2016,/wiki/Oliver_Hart_(economist)
581,Rainer Weiss,Year,2017,/wiki/Rainer_Weiss
582,Jacques Dubochet,Physics,2017,/wiki/Jacques_Dubochet
583,Jeffrey C. Hall,Chemistry,2017,/wiki/Jeffrey_C._Hall
584,Kazuo Ishiguro,Physiologyor Medicine,2017,/wiki/Kazuo_Ishiguro
585,International Campaign to Abolish Nuclear Weapons,Literature,2017,/wiki/International_Campaign_to_Abolish_Nuclear_Weapons
586,Richard Thaler,Peace,2017,/wiki/Richard_Thaler
587,Arthur Ashkin,Year,2018,/wiki/Arthur_Ashkin
588,Frances H. Arnold,Physics,2018,/wiki/Frances_H._Arnold
589,James P. Allison,Chemistry,2018,/wiki/James_P._Allison
590,Olga Tokarczuk,Physiologyor Medicine,2018,/wiki/Olga_Tokarczuk
591,Denis Mukwege,Literature,2018,/wiki/Denis_Mukwege
592,William Nordhaus,Peace,2018,/wiki/William_Nordhaus
593,Jim Peebles,Year,2019,/wiki/Jim_Peebles
594,John B. Goodenough,Physics,2019,/wiki/John_B._Goodenough
595,William Kaelin Jr.,Chemistry,2019,/wiki/William_Kaelin_Jr.
596,Peter Handke,Physiologyor Medicine,2019,/wiki/Peter_Handke
597,Abiy Ahmed,Literature,2019,/wiki/Abiy_Ahmed
598,Abhijit Banerjee,Peace,2019,/wiki/Abhijit_Banerjee
599,Roger Penrose,Year,2020,/wiki/Roger_Penrose
600,Emmanuelle Charpentier,Physics,2020,/wiki/Emmanuelle_Charpentier
601,Harvey J. Alter,Chemistry,2020,/wiki/Harvey_J._Alter
602,Louise Glück,Physiologyor Medicine,2020,/wiki/Louise_Glück
603,World Food Programme,Literature,2020,/wiki/World_Food_Programme
604,Paul Milgrom,Peace,2020,/wiki/Paul_Milgrom
605,Giorgio Parisi,Year,2021,/wiki/Giorgio_Parisi
606,Benjamin List,Physics,2021,/wiki/Benjamin_List
607,David Julius,Chemistry,2021,/wiki/David_Julius
608,Abdulrazak Gurnah,Physiologyor Medicine,2021,/wiki/Abdulrazak_Gurnah
609,Maria Ressa,Literature,2021,/wiki/Maria_Ressa
610,David Card,Peace,2021,/wiki/David_Card
611,Alain Aspect,Year,2022,/wiki/Alain_Aspect
612,Carolyn Bertozzi,Physics,2022,/wiki/Carolyn_Bertozzi
613,Svante Pääbo,Chemistry,2022,/wiki/Svante_Pääbo
614,Annie Ernaux,Physiologyor Medicine,2022,/wiki/Annie_Ernaux
615,Ales Bialiatski,Literature,2022,/wiki/Ales_Bialiatski
616,Ben Bernanke,Peace,2022,/wiki/Ben_Bernanke
617,Pierre Agostini,Year,2023,/wiki/Pierre_Agostini
618,Moungi Bawendi,Physics,2023,/wiki/Moungi_Bawendi
619,Katalin Karikó,Chemistry,2023,/wiki/Katalin_Karikó
620,Jon Fosse,Physiologyor Medicine,2023,/wiki/Jon_Fosse
621,Narges Mohammadi,Literature,2023,/wiki/Narges_Mohammadi
622,Claudia Goldin,Peace,2023,/wiki/Claudia_Goldin
623,John Hopfield,Year,2024,/wiki/John_Hopfield
624,David Baker,Physics,2024,/wiki/David_Baker_(biochemist)
625,Victor Ambros,Chemistry,2024,/wiki/Victor_Ambros
626,Han Kang,Physiologyor Medicine,2024,/wiki/Han_Kang
627,Nihon Hidankyo,Literature,2024,/wiki/Nihon_Hidankyo
628,Daron Acemoglu,Peace,2024,/wiki/Daron_Acemoglu
