Index,Name,Category,Year,Link
74,Karl Adolph Gjellerup,Physiologyor Medicine,1917,/wiki/Karl_Adolph_Gjellerup
75,International Committee of the Red Cross,Literature,1917,/wiki/International_Committee_of_the_Red_Cross
76,Max Planck,Year,1918,/wiki/Max_Planck
77,Fritz Haber,Physics,1918,/wiki/Fritz_Haber
78,Johannes Stark,Year,1919,/wiki/Johannes_Stark
79,Jules Bordet,Chemistry,1919,/wiki/Jules_Bordet
80,Carl Spitteler,Physiologyor Medicine,1919,/wiki/Carl_Spitteler
81,Woodrow Wilson,Literature,1919,/wiki/Woodrow_Wilson
82,Charles Édouard Guillaume,Year,1920,/wiki/Charles_Édouard_Guillaume
83,Walther Nernst,Physics,1920,/wiki/Walther_Nernst
84,August Krogh,Chemistry,1920,/wiki/August_Krogh
85,Knut Hamsun,Physiologyor Medicine,1920,/wiki/Knut_Hamsun
86,Léon Bourgeois,Literature,1920,/wiki/Léon_Bourgeois
87,Albert Einstein,Year,1921,/wiki/Albert_Einstein
88,Frederick Soddy,Physics,1921,/wiki/Frederick_Soddy
89,Anatole France,Physiologyor Medicine,1921,/wiki/Anatole_France
90,Hjalmar Branting,Literature,1921,/wiki/Hjalmar_Branting
91,Niels Bohr,Year,1922,/wiki/Niels_Bohr
92,Francis William Aston,Physics,1922,/wiki/Francis_William_Aston
93,Archibald Hill,Chemistry,1922,/wiki/Archibald_Hill
94,Jacinto Benavente,Physiologyor Medicine,1922,/wiki/Jacinto_Benavente
95,Fridtjof Nansen,Literature,1922,/wiki/Fridtjof_Nansen
96,Robert Andrews Millikan,Year,1923,/wiki/Robert_Andrews_Millikan
97,Fritz Pregl,Physics,1923,/wiki/Fritz_Pregl
98,Frederick Banting,Chemistry,1923,/wiki/Frederick_Banting
99,W. B. Yeats,Physiologyor Medicine,1923,/wiki/W._B._Yeats
100,Manne Siegbahn,Year,1924,/wiki/Manne_Siegbahn
101,Willem Einthoven,Chemistry,1924,/wiki/Willem_Einthoven
102,Władysław Reymont,Physiologyor Medicine,1924,/wiki/Władysław_Reymont
103,James Franck,Year,1925,/wiki/James_Franck
104,Richard Adolf Zsigmondy,Physics,1925,/wiki/Richard_Adolf_Zsigmondy
